name
Leonora Bilger
Chika Kuroda
Alicja Dorabialska
Lydia Sesemann
Branca Edmée Marques
Marija Šimanska
Guadalupe Ortiz de Landázuri
Maria Orosa
Margarete Traube
Sechi Katō
Mary Elvira Weeks
Ana Kansky
Lidija Liepiņa
Eugenia D. Soru
Josephine Silone Yates
Marie Pasteur
Claudine Picardet
Rachel Lloyd
May Sybil Leslie
Milda Prytz
Catherine Chamié
Hoylande Young
Gao Xiaoxia
Beebe Steven Lynk
Isabel Bevier
Grace Medes
Thora Hardy
Éliane Montel
Ivy Parker
Marjorie J. Vold
Agnes Fay Morgan
Margaret Benston
Clara Millicent Taylor
Margarete von Wrangell
Claude Rodier
Laura Alberta Linton
Ștefania Mărăcineanu
Erna Daugaviete
Anne Shymer
Marga Faulstich
Julia Brainerd Hall
Dorothy Maud Wrinch
Saffet Rıza Alpar
Sulamith Goldhaber
Vera Salbieva
Harriet Waddy
María Cegarra Salcedo
Edna Haviland
Esther Batchelder
Letícia Parente
Katerina Vitale
Tasia Maximova Stadnichenko
Frances Micklethwait
Lucia V. Streng
Mary Louise Fossler
Rose Stern
Zoe Shabarova
Olga Bogdanova
Maria Bakunin
Mary Letitia Caldwell
Raluca Ripan
Ada Hitchins
Florence E. Wall
Magda Staudinger
Lydia Pasternak Slater
Mary Swartz Rose
Sarala Roy
Margaret Mary Smith
Mary Elliott Hill
Clara Lieber
Marie Geelmuyden
Alma Levant Hayden
May Brodbeck
Zinaida Ershova
Mary Leach
Désirée Le Beau
